age,district
42.71216623,八里區
46.46012478,三芝區
43.75021707,三重區
41.33480395,三峽區
42.11475555,土城區
44.82915234,中和區
41.41779274,五股區
54.37690961,平溪區
45.2794629,永和區
46.01875351,石門區
49.21844458,石碇區
44.07477697,汐止區
50.60312516,坪林區
42.92763364,板橋區
39.06084594,林口區
45.51019694,金山區
41.37295432,泰山區
41.43505696,烏來區
50.45641184,貢寮區
43.92300862,淡水區
44.68120901,深坑區
45.97413926,新店區
41.18297659,新莊區
46.55787153,瑞芳區
46.76146107,萬里區
41.62662154,樹林區
51.55697218,雙溪區
41.34215905,蘆洲區
41.32939963,鶯歌區
44.87689181,松山區
46.25247269,信義區
45.10152469,大安區
45.93958289,中山區
43.79232127,中正區
45.00933878,大同區
47.12765186,萬華區
44.15897016,文山區
44.22135154,南港區
42.72785864,內湖區
45.48164644,士林區
44.49755886,北投區
